deep_capacity,coupling,single_frequency_objective,multi_frequency_objective
2.6144522918290196,0.015842860249942203,206.78317533792114,969.1087161970593
2.6688906309780474,0.015842860249942203,206.61228790041264,968.9795349430294
2.724462489670946,0.015842860249942203,206.44728268252555,968.8583587738195
2.781191470144235,0.015842860249942203,206.2879998417949,968.7450172392053
2.8391016660821293,0.015842860249942203,206.13428078403834,968.6393365736176
2.898217672849507,0.015842860249942203,205.98596841635324,968.5411399792251
2.95856459793794,0.015842860249942203,205.8429073766248,968.4502479166076
3.0201680716292425,0.015842860249942203,205.70494424056014,968.3664784019018
3.0830542578810483,0.015842860249942203,205.5719277073457,968.2896473092271
3.1472498654390537,0.015842860249942203,205.44370876498428,968.2195686771715
3.212782159180641,0.015842860249942203,205.32014083642227,968.1560550180593
3.279678971694694,0.015842860249942203,205.20107990752456,968.0989176287046
3.347968715102538,0.015842860249942203,205.08638463799622,968.0479669013549
3.4176803931250057,0.015842860249942203,204.9759164562741,968.0030126334894
3.488843613400777,0.015842860249942203,204.86953963945535,967.9638643351979
3.561488600061201,0.015842860249942203,204.7671213792431,967.9303315328345
3.6356462065669573,0.015842860249942203,204.6685318349041,967.902224067717
3.7113479288120055,0.015842860249942203,204.5736441741699,967.8793523886651
3.7886259185003808,0.015842860249942203,204.4823346030064,967.8615278372281
3.8675129968015254,0.015842860249942203,204.3944823851083,967.8485629245238
3.9480426682899523,0.015842860249942203,204.30996985196828,967.8402715986844
4.030249135175162,0.015842860249942203,204.22868240430714,967.8364695019741
4.114167311827854,0.015842860249942203,204.15050850562383,967.8369742167463
4.199832839608606,0.015842860249942203,204.07533966858787,967.8416054994914
4.287282102005317,0.015842860249942203,204.00307043494487,967.8501855023233
4.376552240085843,0.015842860249942203,203.93359834958738,967.8625389813506
4.467681168272388,0.015842860249942203,203.86682392936913,967.8784934914919
4.560707590444349,0.015842860249942203,203.80265062725948,967.8978795673672
4.655671016376465,0.015842860249942203,203.74098479233814,967.9205308900248
4.75261177851923,0.015842860249942203,203.68173562614245,967.9462844393399
4.851571049128716,0.015842860249942203,203.6248151358141,967.9749806320272
4.95259085775307,0.015842860249942203,203.57013808448323,968.0064634452908
5.055714109083132,0.015842860249942203,203.51762193927746,968.0405805262235
5.16098460117471,0.015842860249942203,203.4671868173311,968.077183287144
5.268447044050311,0.015842860249942203,203.41875543012353,968.1161269871329
5.378147078688183,0.015842860249942203,203.37225302646522,968.1572708001079
5.490131296406748,0.015842860249942203,203.32760733441478,968.2004778698047
5.604447258652669,0.015842860249942203,203.28474850238814,968.2456153521389
5.721143517200931,0.015842860249942203,203.24360903969887,968.2925544453974
5.840269634775547,0.015842860249942203,203.2041237567544,968.3411704088259
5.961876206099617,0.015842860249942203,203.16622970509238,968.3913425701448
6.086014879383695,0.015842860249942203,203.12986611744518,968.442954322594
6.212738378261597,0.015842860249942203,203.09497434800357,968.4958931121032
6.3421005241829445,0.015842860249942203,203.0614978129952,968.550050415222
6.474156259271983,0.015842860249942203,203.02938193174356,968.6053217084178
6.608961669662352,0.015842860249942203,202.99857406829395,968.6616064293916
6.74657400931775,0.015842860249942203,202.9690234737304,968.7188079310222
6.887051724348581,0.015842860249942203,202.94068122925518,968.7768334285836
7.030454477834934,0.015842860249942203,202.91350019012577,968.8355939408283
7.176843175166425,0.015842860249942203,202.88743493050723,968.8950042255458
7.3262799899096684,0.015842860249942203,202.86244168930568,968.9549827101765
7.478828390214356,0.015842860249942203,202.83847831702613,969.0154514180557
